spectrum_id,mineral_id,source,instrument,sample_name
SPC-000264,4,RELAB,UNKNOWN,c1mx86g
SPC-000265,4,RELAB,UNKNOWN,c1mx86h
SPC-000266,4,RELAB,UNKNOWN,c1mx87c2
SPC-000267,4,RELAB,UNKNOWN,c1mx88c2
SPC-000268,4,RELAB,UNKNOWN,c1mx89c2
SPC-000269,4,RELAB,UNKNOWN,c1mx90c2
SPC-000270,4,RELAB,UNKNOWN,c1mx91c2
SPC-000271,4,RELAB,UNKNOWN,c1mx92c2
SPC-000272,4,RELAB,UNKNOWN,c1mx93c2
SPC-000273,4,RELAB,UNKNOWN,c1mx94c2
SPC-000274,4,RELAB,UNKNOWN,c1mx95c2
SPC-000275,4,RELAB,UNKNOWN,c1mx96c2
SPC-000276,4,RELAB,UNKNOWN,c1mx97c2
SPC-000277,4,RELAB,UNKNOWN,c2fb12
SPC-000278,4,RELAB,UNKNOWN,c2ls08
SPC-000279,4,RELAB,UNKNOWN,c2ls13
SPC-000280,4,RELAB,UNKNOWN,c3fb12
SPC-000281,4,RELAB,UNKNOWN,c3ls13
SPC-000282,4,RELAB,UNKNOWN,c4fb12
SPC-000283,4,RELAB,UNKNOWN,ca2ls8
SPC-000284,4,RELAB,UNKNOWN,camr04
SPC-000285,4,RELAB,UNKNOWN,cbmr04
SPC-000286,4,RELAB,UNKNOWN,ccmr04
SPC-000287,4,RELAB,UNKNOWN,cdmr04
SPC-000288,4,RELAB,UNKNOWN,cemr04
SPC-000289,4,RELAB,UNKNOWN,cjls13
SPC-000290,4,RELAB,UNKNOWN,ckls13
SPC-000291,4,RELAB,UNKNOWN,clls13
SPC-000292,4,RELAB,UNKNOWN,cmls13
SPC-000293,4,RELAB,UNKNOWN,cnls13
SPC-000294,4,RELAB,UNKNOWN,cols13
SPC-000295,4,RELAB,UNKNOWN,glue13
SPC-000296,4,RELAB,UNKNOWN,m1mm31
SPC-000297,4,RELAB,UNKNOWN,m1mm40
SPC-000298,4,RELAB,UNKNOWN,m1mm41
SPC-000299,4,RELAB,UNKNOWN,m2mm31
SPC-000300,4,RELAB,UNKNOWN,m2mm40
SPC-000301,4,RELAB,UNKNOWN,m2mm41
SPC-000302,4,RELAB,UNKNOWN,mamm31
SPC-000303,4,RELAB,UNKNOWN,mamm40
SPC-000304,4,RELAB,UNKNOWN,mamm41
SPC-000305,4,RELAB,UNKNOWN,nafb265
SPC-000306,4,RELAB,UNKNOWN,nafb81
SPC-000307,4,RELAB,UNKNOWN,nafb8p
SPC-000308,4,RELAB,UNKNOWN,s3ls13
SPC-000309,4,RELAB,UNKNOWN,sa2ls8
SPC-000310,4,RELAB,UNKNOWN,spindo
SPC-000311,4,RELAB,UNKNOWN,spinmo
SPC-000312,5,RELAB,UNKNOWN,bir1qq002
SPC-000313,5,RELAB,UNKNOWN,bir1qq002cf
SPC-000314,5,RELAB,UNKNOWN,bir1qq003cf
SPC-000315,5,RELAB,UNKNOWN,bir1qq004
SPC-000316,5,RELAB,UNKNOWN,bir1qq004cf
SPC-000317,5,RELAB,UNKNOWN,bir1qq006cf
SPC-000318,5,RELAB,UNKNOWN,bir1qq007cf
SPC-000319,5,RELAB,UNKNOWN,bir1th007cf
SPC-000320,5,RELAB,UNKNOWN,bir1th009cf
SPC-000321,5,RELAB,UNKNOWN,bir1th012cf
SPC-000322,5,RELAB,UNKNOWN,c1mr130
SPC-000323,5,RELAB,UNKNOWN,c1pr01
SPC-000324,5,RELAB,UNKNOWN,c1pr02
SPC-000325,5,RELAB,UNKNOWN,c1qq02
SPC-000326,5,RELAB,UNKNOWN,c1qq02cf
SPC-000327,5,RELAB,UNKNOWN,c1qq03cf
SPC-000328,5,RELAB,UNKNOWN,c1qq04
SPC-000329,5,RELAB,UNKNOWN,c1qq04cf
SPC-000330,5,RELAB,UNKNOWN,c1qq06cf
SPC-000331,5,RELAB,UNKNOWN,c1qq07cf
SPC-000332,5,RELAB,UNKNOWN,c1th07cf
SPC-000333,5,RELAB,UNKNOWN,c1th09cf
SPC-000334,5,RELAB,UNKNOWN,c1th12cf
SPC-000335,5,RELAB,UNKNOWN,c2pr02
SPC-000336,5,RELAB,UNKNOWN,c2xm08
SPC-000337,5,RELAB,UNKNOWN,caec08
