GSUID,spectrum_id,crystal_system,space_group,symmetry_rank,symmetry_index,symmetry_complexity_score
6fe9aae7859860945b54d19b1e27edeacc150933,SPC-001437,Triclinic,C1,1,0.14285714285714285,0.8571428571428572
7006c680841a2e00db16c1c447007023e2affddf,SPC-000273,Cubic,Fd-3m,7,1.0,0.0
706037261222c3c118b0c9c73617821a5570673d,SPC-000160,Cubic,Ia-3d,7,1.0,0.0
7066368a49bb2aa6081705f4738b59584751f623,SPC-000558,Monoclinic,C2/c,2,0.2857142857142857,0.7142857142857143
709553249868855285a8c7585f33f09c2fdca040,SPC-000206,Cubic,Ia-3d,7,1.0,0.0
70a633feedfbf7c97e146f15c3c035a6a2b4acfc,SPC-001201,Monoclinic,C2/m,2,0.2857142857142857,0.7142857142857143
70ac423e653997f96911ddc8482c2c39cc06df50,SPC-000380,Tetragonal,P4_2/mnm,4,0.5714285714285714,0.4285714285714286
70c12a88e8285722f5a29a87c5e77cad49124f1c,SPC-000843,Orthorhombic,Pbca,3,0.42857142857142855,0.5714285714285714
71025916091a574caa1ab49400d8ccd013f6bed9,SPC-000486,Monoclinic,C2/c,2,0.2857142857142857,0.7142857142857143
712fc9a4bdf9b1e0a318256ed826deda66f0a38a,SPC-000029,Cubic,Ia-3d,7,1.0,0.0
71592b80f8b156d6e5527daf9d6650ba69225b3b,SPC-001251,Monoclinic,C2/m,2,0.2857142857142857,0.7142857142857143
7173d1cfc68baeca3965af20fc17982b59435141,SPC-000045,Cubic,Ia-3d,7,1.0,0.0
719ca6202dfe227ed78b5806b59975fdaaf041b8,SPC-001212,Monoclinic,C2/m,2,0.2857142857142857,0.7142857142857143
71aa363399b753a6dfdf54df72244ba1b6450fea,SPC-000875,Orthorhombic,Pbnm,3,0.42857142857142855,0.5714285714285714
71e8965407ac96a63c9067587f75daf0072b0064,SPC-000888,Orthorhombic,Pbnm,3,0.42857142857142855,0.5714285714285714
71fa3feefa5c7e0c6eee546e476d6f0b3e95ec71,SPC-001571,Hexagonal,P63/m,6,0.8571428571428571,0.1428571428571429
72385d3e3fbf3f8e07bbbe9b6e8593bc67df02fc,SPC-000590,Monoclinic,C2/c,2,0.2857142857142857,0.7142857142857143
724163be73531ee48950ad84871731cc27657bf3,SPC-001153,Hexagonal,P6/mcc,6,0.8571428571428571,0.1428571428571429
72a1a7bbe1ef4b7fa75807b22578f7ee86a3e831,SPC-000890,Orthorhombic,Pbnm,3,0.42857142857142855,0.5714285714285714
72a2140ea8e46872f82a50b7df99d2a11813f5d5,SPC-001776,Trigonal,R-3c,5,0.7142857142857143,0.2857142857142857
72d49c0154ba6f41a48df9a4310ded69d276dca4,SPC-001185,Monoclinic,C2/m,2,0.2857142857142857,0.7142857142857143
72ef445af338a679a254cc3e6523beacaab7b893,SPC-000582,Monoclinic,C2/c,2,0.2857142857142857,0.7142857142857143
72ff2faed98aecbe8fc74a93bd0cab6494c96656,SPC-000630,Monoclinic,C2/c,2,0.2857142857142857,0.7142857142857143
73623bd95179d13c421afd45043e01e985671ac0,SPC-000690,Orthorhombic,Pbca,3,0.42857142857142855,0.5714285714285714
738cf7c7edc23314837619349887654115079934,SPC-000327,Tetragonal,P4_2/mnm,4,0.5714285714285714,0.4285714285714286
